pruid,prname,prnameFR,date,update,numconf,numprob,numdeaths,numtotal,numtested,numtests,numrecover,percentrecover,ratetested,ratetests,numtoday,percentoday,ratetotal,ratedeaths,numdeathstoday,percentdeath,numtestedtoday,numteststoday,numrecoveredtoday,percentactive,numactive,rateactive,numtotal_last14,ratetotal_last14,numdeaths_last14,ratedeaths_last14,numtotal_last7,ratetotal_last7,numdeaths_last7,ratedeaths_last7,avgtotal_last7,avgincidence_last7,avgdeaths_last7,avgratedeaths_last7,raterecovered
59,British Columbia,Colombie-Britannique,2020-04-08,,1336,0,48,1336,44269,49148,838,62.72,8600,9548,45,3.49,25.95,0.93,5,3.59,1012,792,55,33.68,450,8.74,677,13.15,34,0.66,270,5.25,23,0.45,39,0.75,3,0.06,1.07
48,Alberta,Alberta,2020-04-08,,1423,0,29,1423,66783,65692,,,15103,14856,50,3.64,32.18,0.66,3,2.04,1518,941,,97.96,1394,31.53,1004,22.71,27,0.61,669,15.13,20,0.45,96,2.16,3,0.06,0.00
47,Saskatchewan,Saskatchewan,2020-04-08,,271,0,3,271,15059,13806,,,12776,11713,11,4.23,22.99,0.25,0,1.11,856,544,,98.89,268,22.74,185,15.70,3,0.25,78,6.62,0,0.00,11,0.95,0,0.00,0.00
46,Manitoba,Manitoba,2020-04-08,,206,15,3,221,14569,14025,,,10563,10168,4,1.84,16.02,0.22,0,1.36,579,778,,98.64,218,15.81,186,13.49,3,0.22,94,6.82,2,0.15,13,0.97,0,0.02,0.00
35,Ontario,Ontario,2020-04-08,,5276,0,174,5276,85703,0,,,5817,,550,11.64,35.81,1.18,21,3.30,3648,0,,96.70,5102,34.63,4588,31.14,161,1.09,2884,19.57,137,0.93,412,2.80,20,0.13,0.00
24,Quebec,Québec,2020-04-08,,10031,0,175,10031,109270,109702,,,12743,12794,691,7.40,116.99,2.04,25,1.74,4744,4458,,98.26,9856,114.94,8692,101.37,169,1.97,5420,63.21,142,1.66,774,9.03,20,0.24,0.00
10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,2020-04-08,,232,0,2,232,4135,5484,,,7920,10504,4,1.75,44.44,0.38,0,0.86,177,188,,99.14,230,44.05,165,31.60,2,0.38,57,10.92,1,0.19,8,1.56,0,0.03,0.00
13,New Brunswick,Nouveau-Brunswick,2020-04-08,,108,0,0,108,6477,6429,,,8288,8227,3,2.86,13.82,0.00,0,0.00,375,433,,100.00,108,13.82,82,10.49,0,0.00,27,3.46,0,0.00,4,0.49,0,0.00,0.00
12,Nova Scotia,Nouvelle-Écosse,2020-04-08,,342,0,1,342,12072,11178,,,12327,11414,32,10.32,34.92,0.10,1,0.29,513,531,,99.71,341,34.82,274,27.98,1,0.10,169,17.26,1,0.10,24,2.47,0,0.01,0.00
11,Prince Edward Island,Île-du-Prince-Édouard,2020-04-08,,24,0,0,24,1347,888,,,8439,5563,2,9.09,15.04,0.00,0,0.00,408,13,,100.00,24,15.04,19,11.90,0,0.00,3,1.88,0,0.00,0,0.27,0,0.00,0.00
